CompanyID,CompanyName,Industry,Region,Revenue_WMA,Revenue_std,Revenue_cv,Revenue_slope,ProfitMargin_WMA,ProfitMargin_std,ProfitMargin_cv,ProfitMargin_slope,MarketCap_WMA,MarketCap_std,MarketCap_cv,MarketCap_slope,GrowthRate_WMA,GrowthRate_std,GrowthRate_cv,GrowthRate_slope,ESG_Overall_WMA,ESG_Overall_std,ESG_Overall_cv,ESG_Overall_slope,PriceToSales,NetIncome,PriceToEarnings,Risk-AdjustedGrowth,Earnings-to-Growth,ESG_Signal-to-Noise,TARGET_SCORE
1,Company_1,Retail,Latin America,635.82,46.01,0.07,27.15,4.88,0.69,0.14,-0.27,392.27,91.14,0.23,4.66,5.24,4.12,0.79,1.2,57.58,1.32,0.02,0.78,0.62,31.03,12.64,1.27,9.94,39.0,33.18
2,Company_2,Retail,Asia,3502.38,372.55,0.11,216.99,-0.5,0.74,-1.47,-0.21,4929.49,6094.79,1.24,-549.17,6.31,8.94,1.42,2.84,64.92,1.38,0.02,0.78,1.41,-17.51,-281.49,0.71,-398.82,39.0,30.05
3,Company_3,Transportation,Latin America,403.62,42.71,0.11,26.7,7.79,2.99,0.38,1.88,467.31,272.89,0.58,169.57,6.68,3.31,0.5,0.51,31.84,0.61,0.02,0.33,1.16,31.44,14.86,2.02,7.36,16.5,32.6
4,Company_4,Technology,Africa,6065.22,345.5,0.06,92.31,26.91,2.13,0.08,-1.21,39075.53,4268.4,0.11,1095.8,3.27,7.48,2.29,4.46,61.85,2.05,0.03,1.28,6.44,1632.15,23.94,0.44,54.76,42.67,76.73
5,Company_5,Finance,Middle East,3220.21,90.49,0.03,23.98,21.22,1.49,0.07,0.9,8701.61,1456.65,0.17,-315.17,2.17,8.7,4.02,-2.63,47.01,0.71,0.02,-0.04,2.7,683.33,12.73,0.25,51.05,-2.0,60.73
6,Company_6,Transportation,Oceania,2883.67,273.15,0.09,160.75,-8.95,1.39,-0.16,0.43,6265.89,4154.0,0.66,-1874.02,5.18,6.63,1.28,2.19,70.93,1.15,0.02,-0.11,2.17,-258.09,-24.28,0.78,-31.07,-5.5,23.27
7,Company_7,Healthcare,Oceania,6187.42,193.69,0.03,-73.71,-2.17,2.75,-1.27,-1.36,18721.35,9035.0,0.48,3476.48,0.1,7.72,77.18,-3.69,54.4,0.97,0.02,0.42,3.03,-134.27,-139.43,0.01,-10764.28,21.0,30.06
8,Company_8,Healthcare,Europe,6825.49,287.4,0.04,124.61,11.51,1.85,0.16,1.1,12135.3,4029.32,0.33,1979.4,2.62,4.04,1.54,1.74,79.94,1.26,0.02,0.72,1.78,785.61,15.45,0.65,23.82,36.0,61.56
9,Company_9,Technology,North America,5072.09,840.37,0.17,524.03,6.42,2.18,0.34,-1.17,6668.94,2193.61,0.33,-1150.23,12.4,6.31,0.51,-0.75,63.72,0.91,0.01,-0.03,1.31,325.63,20.48,1.97,10.42,-3.0,35.49
10,Company_10,Technology,Latin America,102707.85,17231.53,0.17,10622.09,14.96,1.95,0.13,0.81,459991.07,134170.65,0.29,74570.26,11.37,6.57,0.58,1.52,67.58,1.0,0.01,0.6,4.48,15365.09,29.94,1.73,17.3,60.0,73.93
11,Company_11,Energy,Europe,269.5,81.09,0.3,-50.97,3.05,2.92,0.96,1.78,187.31,615.03,3.28,-258.05,-17.98,6.93,-0.39,-1.14,67.27,2.01,0.03,1.21,0.7,8.22,22.79,-2.59,-8.78,40.33,36.12
12,Company_12,Finance,Asia,3499.61,159.61,0.05,-69.13,18.35,2.01,0.11,0.61,10860.24,3117.58,0.29,1609.98,-0.77,5.82,-7.52,1.78,53.77,1.3,0.02,0.8,3.1,642.18,16.91,-0.13,-127.83,40.0,50.0
13,Company_13,Consumer Goods,Asia,1208.12,169.38,0.14,100.62,11.39,1.08,0.1,0.46,2077.21,379.0,0.18,125.21,11.44,7.47,0.65,0.39,54.7,1.43,0.03,0.84,1.72,137.6,15.1,1.53,9.86,28.0,46.79
14,Company_14,Transportation,Middle East,1287.52,183.73,0.14,111.33,2.67,2.48,0.93,0.62,869.48,571.66,0.66,211.68,8.28,8.14,0.98,0.96,43.39,1.25,0.03,0.7,0.68,34.38,25.29,1.02,24.86,23.33,32.94
15,Company_15,Healthcare,Oceania,8113.64,1069.55,0.13,554.16,30.45,2.27,0.07,-1.0,41169.93,9498.66,0.23,3693.13,9.27,11.43,1.23,2.95,57.32,0.44,0.01,0.24,5.07,2470.6,16.66,0.81,20.55,24.0,63.43
16,Company_16,Energy,Europe,1230.89,97.82,0.08,-36.05,29.97,12.42,0.41,7.15,5510.25,3440.81,0.62,1426.0,-0.63,9.93,-15.68,-0.41,56.42,3.01,0.05,1.77,4.48,368.9,14.94,-0.06,-235.44,35.4,50.0
17,Company_17,Utilities,Oceania,4051.09,150.42,0.04,-71.59,16.24,0.88,0.05,-0.42,6751.02,2098.82,0.31,-1208.94,-0.61,5.32,-8.67,-1.04,67.52,0.62,0.01,0.24,1.67,657.9,10.26,-0.11,-89.49,24.0,40.79
18,Company_18,Energy,Europe,12648.83,848.24,0.07,373.67,7.47,5.64,0.75,2.36,10882.64,7503.98,0.69,2526.72,5.92,8.45,1.43,-0.06,73.61,1.59,0.02,0.89,0.86,944.87,11.52,0.7,16.44,44.5,45.66
19,Company_19,Technology,Latin America,137774.04,21661.99,0.16,13424.76,3.93,2.26,0.58,-1.19,135850.51,71227.63,0.52,-29698.7,10.65,8.62,0.81,-0.55,54.8,1.68,0.03,0.96,0.99,5414.52,25.09,1.24,20.31,32.0,40.52
20,Company_20,Technology,North America,7091.13,584.15,0.08,346.63,20.97,2.25,0.11,-0.31,36177.17,11587.34,0.32,2237.05,4.33,5.14,1.19,-2.32,63.57,1.28,0.02,0.77,5.1,1487.01,24.33,0.84,28.88,38.5,75.77
21,Company_21,Energy,Asia,1587.97,325.39,0.2,-191.51,15.03,5.33,0.35,-3.04,3755.29,2978.99,0.79,-1853.68,-11.98,13.68,-1.14,-4.89,35.99,1.39,0.04,0.86,2.36,238.67,15.73,-0.88,-17.97,21.5,42.97
22,Company_22,Manufacturing,Latin America,882.58,89.22,0.1,54.06,13.24,4.14,0.31,-2.1,1740.55,412.41,0.24,-92.33,6.69,6.07,0.91,-0.47,57.41,3.23,0.06,1.93,1.97,116.85,14.9,1.1,13.51,32.17,53.17
23,Company_23,Healthcare,Asia,1097.18,34.73,0.03,12.9,24.55,1.88,0.08,0.97,4714.41,1058.43,0.22,422.54,-0.26,4.57,-17.57,-0.09,60.21,2.34,0.04,1.45,4.3,269.36,17.5,-0.06,-307.64,36.25,50.0
24,Company_24,Technology,Middle East,15439.7,1110.44,0.07,638.28,23.36,3.89,0.17,2.22,104067.45,36139.06,0.35,21129.05,5.39,5.14,0.95,0.37,56.07,1.65,0.03,0.92,6.74,3606.71,28.85,1.05,27.52,30.67,74.43
25,Company_25,Utilities,Middle East,563.11,30.6,0.05,-15.49,7.88,0.88,0.11,0.54,419.88,80.45,0.19,-44.34,-3.93,6.58,-1.67,1.13,43.66,3.14,0.07,1.92,0.75,44.37,9.46,-0.6,-15.84,27.43,24.54
26,Company_26,Healthcare,Asia,9735.54,1114.55,0.11,633.84,34.21,2.14,0.06,0.89,52512.79,16931.59,0.32,3617.95,5.07,10.1,1.99,-0.61,55.77,1.45,0.03,-0.76,5.39,3330.53,15.77,0.5,31.41,-25.33,68.9
27,Company_27,Healthcare,Europe,4265.04,955.53,0.22,595.17,9.86,2.74,0.28,1.59,7374.9,3096.58,0.42,1708.5,17.96,4.11,0.23,0.81,65.21,0.79,0.01,0.44,1.73,420.53,17.54,4.37,4.01,44.0,41.24
28,Company_28,Technology,Latin America,5268.09,690.04,0.13,412.88,18.81,1.68,0.09,-0.7,25171.25,9312.17,0.37,3520.15,10.1,5.79,0.57,0.96,79.77,1.22,0.02,0.73,4.78,990.93,25.4,1.74,14.56,36.5,71.23
29,Company_29,Transportation,Oceania,739.63,156.97,0.21,-85.87,16.89,2.76,0.16,0.37,1405.38,224.71,0.16,-55.74,-8.55,10.48,-1.23,1.12,29.05,2.08,0.07,1.31,1.9,124.92,11.25,-0.82,-13.79,18.71,49.44
30,Company_30,Transportation,Middle East,1067.46,156.66,0.15,98.94,-0.05,2.15,-40.34,-0.02,2252.51,1887.98,0.84,732.98,9.81,3.96,0.4,1.31,31.26,1.52,0.05,0.9,2.11,-0.53,-4220.32,2.48,-1703.61,18.0,20.23
31,Company_31,Transportation,Middle East,914.6,121.42,0.13,-71.91,-3.6,1.93,-0.54,-1.08,1935.06,1990.18,1.03,-927.84,-7.47,12.12,-1.62,4.21,28.66,0.71,0.02,-0.42,2.12,-32.93,-58.77,-0.62,95.35,-21.0,36.39
32,Company_32,Utilities,North America,491.15,25.49,0.05,15.47,6.93,1.98,0.29,1.13,323.2,99.61,0.31,41.25,3.66,2.83,0.77,1.26,54.7,0.74,0.01,-0.33,0.66,34.04,9.5,1.29,7.34,-33.0,28.01
33,Company_33,Finance,North America,1290.83,58.88,0.05,28.28,11.01,1.96,0.18,-0.98,2036.41,641.67,0.32,-322.24,2.56,6.69,2.61,-3.24,66.47,2.11,0.03,1.33,1.58,142.12,14.33,0.38,37.45,44.33,61.55
34,Company_34,Energy,Middle East,14445.64,2775.88,0.19,1580.76,17.96,2.31,0.13,0.03,30725.83,10196.26,0.33,3141.28,15.69,12.42,0.79,6.28,35.37,0.3,0.01,0.14,2.13,2594.44,11.84,1.26,9.37,14.0,48.78
35,Company_35,Healthcare,Middle East,1639.38,303.02,0.18,184.71,12.8,1.2,0.09,0.06,3718.45,956.0,0.26,406.16,14.22,8.39,0.59,0.36,72.72,2.29,0.03,1.38,2.27,209.84,17.72,1.69,10.46,46.0,55.18
36,Company_36,Healthcare,Europe,2642.85,284.14,0.11,172.99,27.65,1.82,0.07,0.74,13914.46,3438.9,0.25,1801.59,7.47,5.27,0.7,0.14,76.24,0.26,0.0,-0.0,5.26,730.75,19.04,1.42,13.43,,60.27
37,Company_37,Energy,Oceania,5412.9,1382.61,0.26,-826.08,11.2,3.35,0.3,0.09,10342.53,4014.11,0.39,-1110.52,-9.15,9.58,-1.05,-0.29,76.88,1.95,0.03,1.2,1.91,606.24,17.06,-0.96,-17.86,40.0,32.87
